fecha,anio,mes,banco,indicador,monto_miles
31/12/2021,2021,12,RIPLEY,PATRIMONIO,368169.616
31/12/2021,2021,12,RIPLEY,UTILIDAD_NETA,-20279.565
31/12/2021,2021,12,SANTANDER,TOTAL_ACTIVOS,4177577.213
31/12/2021,2021,12,SANTANDER,PATRIMONIO,1042407.001
31/12/2021,2021,12,SANTANDER,UTILIDAD_NETA,166107.781
31/12/2021,2021,12,SCOTIABANK,TOTAL_ACTIVOS,51734162.038
31/12/2021,2021,12,SCOTIABANK,PATRIMONIO,10792864.138
31/12/2021,2021,12,SCOTIABANK,UTILIDAD_NETA,1041795.685
31/12/2022,2022,12,BANBIF,TOTAL_ACTIVOS,11837716.247
31/12/2022,2022,12,BANBIF,PATRIMONIO,1593785.844
31/12/2022,2022,12,BANBIF,UTILIDAD_NETA,179373.379
31/12/2022,2022,12,BANCOM,TOTAL_ACTIVOS,2020999.353
31/12/2022,2022,12,BANCOM,PATRIMONIO,397358.091
31/12/2022,2022,12,BANCOM,UTILIDAD_NETA,19121.292
31/12/2022,2022,12,BBVA,TOTAL_ACTIVOS,66677315.095
31/12/2022,2022,12,BBVA,PATRIMONIO,11305228.885
31/12/2022,2022,12,BBVA,UTILIDAD_NETA,1912566.842
31/12/2022,2022,12,BCP,TOTAL_ACTIVOS,109010890.289
31/12/2022,2022,12,BCP,PATRIMONIO,22005254.659
31/12/2022,2022,12,BCP,UTILIDAD_NETA,4484017.305
31/12/2022,2022,12,FALABELLA,TOTAL_ACTIVOS,4768929.744
31/12/2022,2022,12,FALABELLA,PATRIMONIO,950527.591
31/12/2022,2022,12,FALABELLA,UTILIDAD_NETA,17011.813
31/12/2022,2022,12,GNB,TOTAL_ACTIVOS,3871511.451
31/12/2022,2022,12,GNB,PATRIMONIO,760794.763
31/12/2022,2022,12,GNB,UTILIDAD_NETA,33516.861
31/12/2022,2022,12,INTERBANK,TOTAL_ACTIVOS,45062396.492
31/12/2022,2022,12,INTERBANK,PATRIMONIO,7174517.215
31/12/2022,2022,12,INTERBANK,UTILIDAD_NETA,1171698.436
31/12/2022,2022,12,MIBANCO,TOTAL_ACTIVOS,15937698.905
31/12/2022,2022,12,MIBANCO,PATRIMONIO,2640790.212
31/12/2022,2022,12,MIBANCO,UTILIDAD_NETA,438354.531
31/12/2022,2022,12,PICHINCHA,TOTAL_ACTIVOS,8295531.996
31/12/2022,2022,12,PICHINCHA,PATRIMONIO,943081.684
31/12/2022,2022,12,PICHINCHA,UTILIDAD_NETA,5059.33
31/12/2022,2022,12,RIPLEY,TOTAL_ACTIVOS,2544277.229
31/12/2022,2022,12,RIPLEY,PATRIMONIO,410050.765
31/12/2022,2022,12,RIPLEY,UTILIDAD_NETA,-18198.141
31/12/2022,2022,12,SANTANDER,TOTAL_ACTIVOS,2968012.529
31/12/2022,2022,12,SANTANDER,PATRIMONIO,1127162.318
31/12/2022,2022,12,SANTANDER,UTILIDAD_NETA,167284.965
31/12/2022,2022,12,SCOTIABANK,TOTAL_ACTIVOS,50260141.547
31/12/2022,2022,12,SCOTIABANK,PATRIMONIO,10892206.748
31/12/2022,2022,12,SCOTIABANK,UTILIDAD_NETA,1425515.768
31/12/2023,2023,12,BANBIF,TOTAL_ACTIVOS,13202696.372
31/12/2023,2023,12,BANBIF,PATRIMONIO,1741527.421
31/12/2023,2023,12,BANBIF,UTILIDAD_NETA,179872.825
31/12/2023,2023,12,BANCOM,TOTAL_ACTIVOS,1948469.348
31/12/2023,2023,12,BANCOM,PATRIMONIO,401571.794
31/12/2023,2023,12,BANCOM,UTILIDAD_NETA,4149.724
31/12/2023,2023,12,BBVA,TOTAL_ACTIVOS,71168744.513
31/12/2023,2023,12,BBVA,PATRIMONIO,12401032.033
31/12/2023,2023,12,BBVA,UTILIDAD_NETA,1869102.759
31/12/2023,2023,12,BCP,TOTAL_ACTIVOS,111002716.838
31/12/2023,2023,12,BCP,PATRIMONIO,23978896.003
31/12/2023,2023,12,BCP,UTILIDAD_NETA,4664508.053
31/12/2023,2023,12,FALABELLA,TOTAL_ACTIVOS,4467096.856
31/12/2023,2023,12,FALABELLA,PATRIMONIO,914195.575
31/12/2023,2023,12,FALABELLA,UTILIDAD_NETA,-45801.026
31/12/2023,2023,12,GNB,TOTAL_ACTIVOS,4084207.09
31/12/2023,2023,12,GNB,PATRIMONIO,756988.541
31/12/2023,2023,12,GNB,UTILIDAD_NETA,20083.633
31/12/2023,2023,12,INTERBANK,TOTAL_ACTIVOS,48587968.031
31/12/2023,2023,12,INTERBANK,PATRIMONIO,7777432.7
31/12/2023,2023,12,INTERBANK,UTILIDAD_NETA,900497.958
31/12/2023,2023,12,MIBANCO,TOTAL_ACTIVOS,16066297.302
31/12/2023,2023,12,MIBANCO,PATRIMONIO,2867573.006
31/12/2023,2023,12,MIBANCO,UTILIDAD_NETA,265940.574
31/12/2023,2023,12,PICHINCHA,TOTAL_ACTIVOS,8352553.653
31/12/2023,2023,12,PICHINCHA,PATRIMONIO,1130789.756
31/12/2023,2023,12,PICHINCHA,UTILIDAD_NETA,630.604
31/12/2023,2023,12,RIPLEY,TOTAL_ACTIVOS,2081166.017
31/12/2023,2023,12,RIPLEY,PATRIMONIO,387247.164
31/12/2023,2023,12,RIPLEY,UTILIDAD_NETA,-83249.298
31/12/2023,2023,12,SANTANDER,TOTAL_ACTIVOS,3946575.028
31/12/2023,2023,12,SANTANDER,PATRIMONIO,1274750.429
31/12/2023,2023,12,SANTANDER,UTILIDAD_NETA,221271.141
31/12/2023,2023,12,SCOTIABANK,TOTAL_ACTIVOS,47766716.668
31/12/2023,2023,12,SCOTIABANK,PATRIMONIO,11582530.714
31/12/2023,2023,12,SCOTIABANK,UTILIDAD_NETA,736925.017
31/12/2024,2024,12,BANBIF,TOTAL_ACTIVOS,13412110.056
31/12/2024,2024,12,BANBIF,PATRIMONIO,1914979.577
31/12/2024,2024,12,BANBIF,UTILIDAD_NETA,200086.704
31/12/2024,2024,12,BANCOM,TOTAL_ACTIVOS,1824386.098
31/12/2024,2024,12,BANCOM,PATRIMONIO,407679.108
31/12/2024,2024,12,BANCOM,UTILIDAD_NETA,7046.576
31/12/2024,2024,12,BBVA,TOTAL_ACTIVOS,73371006.018
31/12/2024,2024,12,BBVA,PATRIMONIO,13333361.75
31/12/2024,2024,12,BBVA,UTILIDAD_NETA,1886404.595
31/12/2024,2024,12,BCP,TOTAL_ACTIVOS,113359938.41
31/12/2024,2024,12,BCP,PATRIMONIO,25008873.414
31/12/2024,2024,12,BCP,UTILIDAD_NETA,5216692.185
31/12/2024,2024,12,FALABELLA,TOTAL_ACTIVOS,4390446.487
31/12/2024,2024,12,FALABELLA,PATRIMONIO,1002410.508
31/12/2024,2024,12,FALABELLA,UTILIDAD_NETA,83011.662
31/12/2024,2024,12,GNB,TOTAL_ACTIVOS,4374491.046
31/12/2024,2024,12,GNB,PATRIMONIO,804122.695
31/12/2024,2024,12,GNB,UTILIDAD_NETA,45201.366
